@ 3600 IN SOA dns root 2015043001 30 30 360 3600
@ 3600 IN MX 5 mxbiz1.qq.com.
3600 IN MX 10 mxbiz2.qq.com.
caai-ec 3600 IN A 202.204.220.10
math 3600 IN A 202.204.213.138
webmange 3600 IN A 202.204.208.74
yuce 3600 IN A 202.204.208.66
student 3600 IN A 202.204.209.235
crjyoa 3600 IN CNAME crjy
usco 3600 IN A 202.204.208.66
imp 3600 IN A 202.204.208.185
oldinfo 3600 IN A 202.204.208.72
wzgl 3600 IN A 202.204.208.142
cwcx 3600 IN A 202.204.209.126
cjy 3600 IN A 202.108.129.209
chinese 3600 IN A 202.204.219.100
szjyzx 3600 IN A 202.204.209.233
poetry 3600 IN A 202.204.219.101
phy 3600 IN A 202.204.213.10
jfr 3600 IN A 202.204.209.5
fzghbgs 3600 IN A 202.204.208.140
bwc 3600 IN A 202.204.208.140
dhcp 3600 IN A 10.3.1.249
zlgc 3600 IN A 202.204.212.4
gdwx 3600 IN A 202.204.219.100
update 3600 IN A 202.204.208.125
dqmedia 3600 IN A 172.18.129.21
lxupdate 3600 IN A 172.17.6.101
etkeylab 3600 IN A 202.204.215.156
imis 3600 IN A 202.204.213.131
zzb 3600 IN A 202.204.208.140
bkzs 3600 IN A 202.204.208.111
jjh 3600 IN A 202.204.208.148
bqjszc 3600 IN A 202.204.219.46
lxjszc 3600 IN A 172.17.6.102
radio 3600 IN A 202.108.129.214
wfs 3600 IN A 202.204.208.98
ns.fz 3600 IN A 202.204.218.131
vpn 3600 IN A 202.204.208.21
cnu3d 3600 IN A 202.204.208.147
ns.ie 3600 IN A 202.204.220.11
xxgk 3600 IN A 202.204.208.140
bqmedia 3600 IN A 202.204.219.47
jjy 3600 IN A 202.204.208.140
bingle 3600 IN CNAME tw
lxmedia 3600 IN A 172.17.6.103
JKY 3600 IN A 202.204.210.83
pop 3600 IN CNAME pop.exmail.qq.com.
server.fli 3600 IN A 202.204.221.11
cnuoa 3600 IN A 202.204.208.143
dns2 3600 IN A 202.108.129.3
guanli 3600 IN A 202.204.208.109
eris 3600 IN A 202.204.209.120
info 3600 IN A 202.204.208.140
news 3600 IN A 202.204.209.121
bg 3600 IN A 202.204.208.181
ctwhszh 3600 IN A 202.204.208.66
tyjxyjb 3600 IN A 202.204.208.140
jlca 3600 IN A 202.204.209.32
ci 3600 IN A 202.204.219.102
eec 3600 IN A 202.204.210.200
edm 3600 IN A 202.204.209.122
dc 3600 IN A 202.204.208.140
vpntest 3600 IN A 202.204.208.22
portal 3600 IN A 202.204.208.141
wlx 3600 IN A 202.204.208.140
psy 3600 IN A 202.108.129.211
dns 3600 IN A 202.204.208.2
cwpt 3600 IN A 202.204.209.116
hqglc 3600 IN A 202.204.208.140
cret 3600 IN A 202.204.209.234
waiyu 3600 IN A 202.204.208.66
