@ 86400 IN SOA dns hostmaster 2015042302 7200 3600 7200 600
@ 86400 IN MX 10 mailin1
86400 IN MX 10 mailin2
uu-rk-wlan-100-171 86400 IN A 193.170.100.171
uu-rk-wlan-100-172 86400 IN A 193.170.100.172
uu-rk-wlan-100-173 86400 IN A 193.170.100.173
s-help1 86400 IN A 193.170.191.72
uu-rk-wlan-100-175 86400 IN A 193.170.100.175
uu-rk-wlan-100-176 86400 IN A 193.170.100.176
uu-rk-wlan-100-177 86400 IN A 193.170.100.177
uu-rk-wlan-100-178 86400 IN A 193.170.100.178
r-hsrp-inf1 86400 IN A 193.170.129.102
r-hsrp-inf2 86400 IN A 193.170.129.103
uu-rk-wlan-100-182 86400 IN A 193.170.100.182
ap-pt116-002a 86400 IN A 192.168.248.157
uu-rk-wlan-100-184 86400 IN A 193.170.100.184
s-gt1 86400 IN A 193.170.191.217
uu-rk-wlan-100-186 86400 IN A 193.170.100.186
uu-rk-wlan-100-187 86400 IN A 193.170.100.187
uu-rk-wlan-100-188 86400 IN A 193.170.100.188
uu-rk-wlan-100-189 86400 IN A 193.170.100.189
uu-rk-wlan-100-191 86400 IN A 193.170.100.191
uu-rk-wlan-100-192 86400 IN A 193.170.100.192
uu-rk-wlan-100-193 86400 IN A 193.170.100.193
uu-rk-wlan-100-194 86400 IN A 193.170.100.194
uu-rk-wlan-100-195 86400 IN A 193.170.100.195
uu-rk-wlan-100-196 86400 IN A 193.170.100.196
uu-rk-wlan-100-197 86400 IN A 193.170.100.197
uu-rk-wlan-100-198 86400 IN A 193.170.100.198
r-kf-v6 86400 IN AAAA 2001:628:20d0:1::2
uu-rk-wlan-100-211 86400 IN A 193.170.100.211
gt-lg14-104a 86400 IN A 192.168.49.201
uu-rk-wlan-100-213 86400 IN A 193.170.100.213
uu-rk-wlan-100-214 86400 IN A 193.170.100.214
uu-rk-wlan-100-215 86400 IN A 193.170.100.215
uu-rk-wlan-100-216 86400 IN A 193.170.100.216
uu-rk-wlan-100-217 86400 IN A 193.170.100.217
uu-rk-wlan-100-218 86400 IN A 193.170.100.218
uu-rk-wlan-100-219 86400 IN A 193.170.100.219
uu-rk-wlan-100-221 86400 IN A 193.170.100.221
uu-rk-wlan-100-222 86400 IN A 193.170.100.222
uu-rk-wlan-100-223 86400 IN A 193.170.100.223
s-www-int1 86400 IN A 193.170.53.51
s-gw1 86400 IN A 193.170.129.208
s-gw2 86400 IN A 193.170.129.209
ap24-rk 86400 IN A 192.168.248.74
uu-rk-wlan-100-228 86400 IN A 193.170.100.228
uu-rk-wlan-100-229 86400 IN A 193.170.100.229
uu-rk-wlan-100-231 86400 IN A 193.170.100.231
uu-rk-wlan-100-232 86400 IN A 193.170.100.232
uu-rk-wlan-100-233 86400 IN A 193.170.100.233
uu-rk-wlan-100-234 86400 IN A 193.170.100.234
uu-rk-wlan-100-235 86400 IN A 193.170.100.235
uu-rk-wlan-100-236 86400 IN A 193.170.100.236
s-ldap1 86400 IN A 193.170.53.11
s-ldap2 86400 IN A 193.170.53.12
uu-rk-wlan-100-239 86400 IN A 193.170.100.239
uu-rk-wlan-100-241 86400 IN A 193.170.100.241
uu-rk-wlan-100-242 86400 IN A 193.170.100.242
uu-rk-wlan-100-243 86400 IN A 193.170.100.243
uu-rk-wlan-100-244 86400 IN A 193.170.100.244
s-hp1 86400 IN A 192.168.107.142
s-hp2 86400 IN A 193.170.53.36
uu-rk-wlan-100-247 86400 IN A 193.170.100.247
uu-rk-wlan-100-248 86400 IN A 193.170.100.248
uu-rk-wlan-100-249 86400 IN A 193.170.100.249
uu-rk-wlan-100-251 86400 IN A 193.170.100.251
uu-rk-wlan-100-252 86400 IN A 193.170.100.252
uu-rk-wlan-100-253 86400 IN A 193.170.100.253
uu-rk-wlan-100-254 86400 IN A 193.170.100.254
p-bg21-137a 86400 IN A 192.168.247.17
s-mailout1a 600 IN CNAME mailout1a
s-ics 86400 IN A 192.168.152.14
omnivista 86400 IN A 193.170.129.177
taleo18lioe 86400 IN A 193.170.129.182
p-ls82-125a 86400 IN A 192.168.247.110
ap-pt116-014a 86400 IN A 192.168.248.158
s-im1 86400 IN A 193.170.129.216
sw2-os 86400 IN A 193.170.190.76
s-www3 86400 IN A 193.170.52.13
sentinel 86400 IN CNAME s-slm1
taoslioe 86400 IN A 193.170.131.252
personalentwicklung 86400 IN CNAME s-www1
switch-pm-pb 86400 IN A 193.170.128.85
tawmalarmbox 86400 IN A 193.170.129.60
uu131-069 86400 IN A 193.170.131.69
streaming 86400 IN A 131.130.1.67
s-is1 86400 IN A 192.168.107.132
moneyloader 86400 IN A 193.170.129.201
ap12-mm 86400 IN A 192.168.248.22
w-ls82-104a 86400 IN A 193.170.129.69
syslog 86400 IN A 193.170.190.52
w-ls82-104c 86400 IN A 193.170.129.72
w-ls82-104d 86400 IN A 193.170.129.73
w-ls82-104e 86400 IN A 193.170.129.74
w-ls82-104f 86400 IN A 193.170.129.82
w-ls82-105a 86400 IN A 193.170.129.68
p-ls82-136a 86400 IN A 192.168.247.102
s-inst1 86400 IN A 192.168.107.184
ap12-pm 86400 IN A 192.168.248.42
sw1-br21-1og-v3 86400 IN A 193.170.130.240
s-rim1 86400 IN A 193.170.129.203
ap12-rk 86400 IN A 192.168.248.62
p-br17-359a 86400 IN A 193.170.130.237
sw-bg17-152a 86400 IN A 193.170.190.30
s-shib1 86400 IN A 193.170.53.39
musikpaedagogik 86400 IN CNAME s-mp1
s-mysqldev1 86400 IN A 192.168.107.159
acs-v6 86400 IN AAAA 2001:628:20d0:11::90
sw-bg17-159a 86400 IN A 193.170.190.32
student 86400 IN MX 50 mailin1
86400 IN MX 50 mailin2
student 86400 IN TXT "v=spf1  mx ip4:193.170.129.210 ip4:193.170.129.211 ip4:193.170.129.212 ip4:193.170.129.213 ip4:193.170.129.225 ip4:193.170.129.227 -all"
u-hp08-053a 86400 IN A 192.168.11.51
sw1-rk-wlan 86400 IN A 193.170.100.129
uu128-005 86400 IN A 193.170.128.5
s-ma1 86400 IN A 193.170.53.10
w-ls82-029a 86400 IN A 193.170.128.96
s-vdp-s5 86400 IN A 192.168.107.94
p-ls82-155a 86400 IN A 192.168.247.101
p-ls15-1f9a 86400 IN A 192.168.247.59
s-gebos1 86400 IN A 192.168.107.101
vpn 86400 IN A 193.170.190.253
s-rld1 600 IN A 193.170.129.251
s-mg1 86400 IN A 193.170.53.69
dev-genderforschung 86400 IN CNAME s-wwwdev1
netman 86400 IN A 193.170.190.38
s-repo1 86400 IN A 193.170.53.50
dev-m 86400 IN A 193.170.190.63
w-pm15-107a 86400 IN A 193.170.130.15
tl-bg21-k10a 86400 IN A 192.168.107.213
s-rld1-do-p 86400 IN A 193.170.53.65
s-ldapint1 86400 IN A 193.170.53.13
s-ldapint2 86400 IN A 193.170.53.14
sw1-br21-sz-v11 86400 IN A 193.170.190.42
usv2-br21-e12 86400 IN A 192.168.248.97
s-mp1 86400 IN A 193.170.191.246
u-bu03-201a 86400 IN A 192.168.11.50
taosalarmbox 86400 IN A 193.170.131.253
wcs-m 86400 IN A 193.170.190.60
sw-ls15-017a 86400 IN A 193.170.190.98
sw-ls15-017b 86400 IN A 193.170.190.92
sw1-br21-sz-v44 86400 IN A 193.170.129.163
w-pm15-204a 86400 IN A 193.170.130.161
www 600 IN CNAME s-www1
cisco-pm-e10 86400 IN A 193.170.129.161
s-s2-esx1 86400 IN A 192.168.107.204
s-s2-esx2 86400 IN A 192.168.107.205
s-s2-esx3 86400 IN A 192.168.107.206
s-s2-esx4 86400 IN A 192.168.107.207
ap04-br19 86400 IN A 192.168.248.84
ap04-br21 86400 IN A 192.168.248.133
s-ftp1 86400 IN A 193.170.191.248
s-ftp2 86400 IN A 192.168.107.126
zid 86400 IN CNAME s-www1
dbdev1 600 IN CNAME s-co-dbdev1
mg-share 86400 IN A 193.170.131.126
s-pi1 86400 IN A 193.170.190.40
ap01-mm 86400 IN A 192.168.248.11
p-lg14-204a 86400 IN A 192.168.247.122
ntp-lb 86400 IN A 193.170.129.140
uu131-030 86400 IN A 193.170.131.30
w-pm15-113b 86400 IN A 193.170.130.152
p-ls82-207a 86400 IN A 193.170.129.75
p-ls82-207b 86400 IN A 192.168.247.111
ta25 86400 IN A 193.170.130.25
cisco-bg 86400 IN A 193.170.191.6
ta32 86400 IN A 193.170.130.32
ta33 86400 IN A 193.170.130.33
n-bg21-leij 86400 IN A 193.170.130.236
uu-rk131 86400 IN A 193.170.131.131
uu-rk132 86400 IN A 193.170.131.132
uu-rk133 86400 IN A 193.170.131.133
uu-rk134 86400 IN A 193.170.131.134
uu-rk135 86400 IN A 193.170.131.135
uu-rk136 86400 IN A 193.170.131.136
uu-rk137 86400 IN A 193.170.131.137
s-www-prod1 86400 IN A 193.170.52.11
s-www-prod2 86400 IN A 193.170.53.53
s-www-prod3 86400 IN A 193.170.53.54
uu-rk142 86400 IN A 193.170.131.142
uu-rk143 86400 IN A 193.170.131.143
uu-rk144 86400 IN A 193.170.131.144
uu-rk145 86400 IN A 193.170.131.145
uu-rk146 86400 IN A 193.170.131.146
uu-rk147 86400 IN A 193.170.131.147
uu-rk148 86400 IN A 193.170.131.148
uu-rk149 86400 IN A 193.170.131.149
uu-rk151 86400 IN A 193.170.131.151
uu-rk153 86400 IN A 193.170.131.153
uu-rk154 86400 IN A 193.170.131.154
uu-rk155 86400 IN A 193.170.131.155
uu-rk156 86400 IN A 193.170.131.156
uu-rk157 86400 IN A 193.170.131.157
autoyast 86400 IN CNAME s-inst1
w-pm15-114a 86400 IN A 193.170.130.195
piwik 86400 IN CNAME s-piwik1
sysson 86400 IN CNAME s-www1
s-gms1 86400 IN A 193.170.129.236
s-gms2 86400 IN A 193.170.129.237
ap25-rk 86400 IN A 192.168.248.75
ftp1 86400 IN CNAME s-ftp1
ftp2 86400 IN CNAME s-ftp2
p-bg21-235a 86400 IN A 192.168.247.13
uu-rk-wlan-100-245 86400 IN A 193.170.100.245
uu-rk230 86400 IN A 193.170.191.230
bb-mobile-09v6 86400 IN AAAA 2001:628:20d0:9::20
w-br19-353b 86400 IN A 193.170.190.151
u-hp08-123a 86400 IN A 192.168.11.59
wm01 86400 IN A 193.170.129.35
wm02 86400 IN A 193.170.129.36
wm03 86400 IN A 193.170.129.37
cisco-os 86400 IN A 193.170.191.14
wm04 86400 IN A 193.170.129.38
cisco-pm 86400 IN A 193.170.191.2
bb-sun-nb-v6 86400 IN AAAA 2001:628:20d0:1::10
w-br21-info 86400 IN A 193.170.130.44
w-pm15-116a 86400 IN A 193.170.130.196
ap1-br21-zid 86400 IN A 193.170.191.66
sw-bg18-007a 86400 IN A 193.170.190.114
wm10 86400 IN A 193.170.129.44
s-dcnm1 86400 IN A 192.168.107.108
wm11 86400 IN A 193.170.129.45
kug190-169 86400 IN A 193.170.190.169
comsys-info 86400 IN A 193.170.190.50
devi1 86400 IN CNAME s-www1
vsphere 86400 IN CNAME s-vc1
cisco-wm 86400 IN A 193.170.191.10
s-rs1 86400 IN A 193.170.53.76
s-rs2 86400 IN A 193.170.53.77
ap03-pm 86400 IN A 192.168.248.33
kug190-174 86400 IN A 193.170.190.174
uu-rk-wlan-100-210 86400 IN A 193.170.100.210
kug190-175 86400 IN A 193.170.190.175
mumuth202 86400 IN A 193.170.191.202
kug190-177 86400 IN A 193.170.190.177
s-sm1 86400 IN A 193.170.53.40
mumuth194 86400 IN A 193.170.191.194
mumuth205 86400 IN A 193.170.191.205
ntp 86400 IN A 193.170.53.8
sw-bg18-017a 86400 IN A 192.168.253.13
mumuth206 86400 IN A 193.170.191.206
ap13-rk 86400 IN A 192.168.248.63
mumuth208 86400 IN A 193.170.191.208
sw-ls15-02ba 86400 IN A 193.170.190.104
sw-ls15-02bb 86400 IN A 193.170.190.96
mumuth199 86400 IN A 193.170.191.199
kugwlan101-019 86400 IN A 193.170.101.19
sw-bg17-252a 86400 IN A 193.170.190.29
s-ds1 86400 IN A 193.170.129.231
ap-ls19-015a 86400 IN A 192.168.248.48
rk-fw 86400 IN A 193.170.190.238
s-st1 86400 IN A 193.170.191.245
t-pm15-foyb 86400 IN A 193.170.100.48
monitor-m 86400 IN A 193.170.190.53
p-ls15-2f0a 86400 IN A 192.168.247.61
w-pm15-119a 86400 IN A 193.170.130.69
te12 86400 IN A 193.170.190.112
nb22a 86400 IN A 193.170.130.125
kugwlan101-027 86400 IN A 193.170.101.27
mumuth220 86400 IN A 193.170.191.220
kugwlan101-029 86400 IN A 193.170.101.29
podcast 86400 IN CNAME s-el2
schubert 86400 IN A 193.170.128.162
kug190-209 86400 IN A 193.170.190.209
taossupport 86400 IN A 193.170.131.254
nb216a 86400 IN A 193.170.130.124
kug100-090 86400 IN A 193.170.100.90
ap01-mg 86400 IN A 192.168.248.146
kug130-018 86400 IN A 193.170.130.18
kugwlan101-040 86400 IN A 193.170.101.40
s-vc1 86400 IN A 192.168.107.128
_vlmcs._tcp 3600 IN SRV 0 0 1688 s-kms1
p-bg21-k01a 86400 IN A 192.168.247.10
s-s2-esx2-ilo 86400 IN A 192.168.107.235
ap01-pm 86400 IN A 192.168.248.31
gms-s 86400 IN CNAME s-gms2
gms-u 86400 IN CNAME s-gms1
s-rtn1 600 IN A 193.170.53.37
kugwlan101-047 86400 IN A 193.170.101.47
ap01-rk 86400 IN A 192.168.248.51
p-ls18-113a 86400 IN A 192.168.247.81
kugwlan101-050 86400 IN A 193.170.101.50
w-ls82-foyd 86400 IN A 193.170.129.84
lms-m 86400 IN A 193.170.190.56
nb226a 86400 IN A 193.170.130.126
sw-ig10-1f0a 86400 IN A 193.170.190.124
localhost 86400 IN A 127.0.0.1
kugwlan101-058 86400 IN A 193.170.101.58
kugwlan101-060 86400 IN A 193.170.101.60
kugwlan101-061 86400 IN A 193.170.101.61
vl-bg03-201a 86400 IN A 192.168.247.45
uu190-190 86400 IN A 193.170.190.190
pd-bg21-k10a 86400 IN A 192.168.11.12
pd-bg21-k10b 86400 IN A 192.168.11.13
pd-bg21-k10c 86400 IN A 192.168.11.61
pd-bg21-k10d 86400 IN A 192.168.11.62
kugwlan101-065 86400 IN A 193.170.101.65
p-br17-gana 86400 IN A 193.170.130.241
sw-ig10-3f0b 86400 IN A 193.170.190.101
kug100-101 86400 IN A 193.170.100.101
w-pm15-124a 86400 IN A 193.170.130.79
c-br21-nc1a 86400 IN A 193.170.191.116
elmupc01 86400 IN A 193.170.129.52
elmupc02 86400 IN A 193.170.129.54
elmupc03 86400 IN A 193.170.129.56
kugwlan101-070 86400 IN A 193.170.101.70
kv-bg17-159a 86400 IN A 192.168.107.212
s-zcm3 86400 IN A 193.170.53.33
neumann 86400 IN CNAME nb226a
s-gd-hp08 86400 IN A 192.168.152.27
s-gd-ig10 86400 IN A 192.168.152.30
sw-ls15-302a 86400 IN A 193.170.190.100
ap20-mm 86400 IN A 192.168.248.30
kugwlan101-080 86400 IN A 193.170.101.80
p-ig10-303a 86400 IN A 192.168.247.151
tarkcpu 86400 IN A 193.170.191.229
p-bg21-309a 86400 IN A 192.168.247.14
s-slm1 86400 IN A 192.168.107.147
w-br17-fo0c 86400 IN A 193.170.190.132
w-br17-fo0d 86400 IN A 193.170.190.133
w-br17-fo0e 86400 IN A 193.170.190.134
kugpb034 86400 IN A 193.170.128.34
kugpb035 86400 IN A 193.170.128.35
kugpb036 86400 IN A 193.170.128.36
kugpb037 86400 IN A 193.170.128.37
w-br17-fo1a 86400 IN A 193.170.190.136
w-br17-fo1b 86400 IN A 193.170.190.137
w-br17-fo1c 86400 IN A 193.170.190.141
w-br17-fo1d 86400 IN A 193.170.190.142
w-br17-fo1e 86400 IN A 193.170.190.144
pb908j 86400 IN A 193.170.128.51
w-br17-fo2b 86400 IN A 193.170.190.139
w-br17-fo2c 86400 IN A 193.170.190.143
kugpb053 86400 IN A 193.170.128.53
kugwlan101-087 86400 IN A 193.170.101.87
kugpb058 86400 IN A 193.170.128.58
kugpb059 86400 IN A 193.170.128.59
kugpb061 86400 IN A 193.170.128.61
kugpb062 86400 IN A 193.170.128.62
kugpb067 86400 IN A 193.170.128.67
kugwlan101-089 86400 IN A 193.170.101.89
kugpb069 86400 IN A 193.170.128.69
kugpb071 86400 IN A 193.170.128.71
kugpb072 86400 IN A 193.170.128.72
kugpb073 86400 IN A 193.170.128.73
kugpb074 86400 IN A 193.170.128.74
kugwlan101-091 86400 IN A 193.170.101.91
kugpb077 86400 IN A 193.170.128.77
kugpb079 86400 IN A 193.170.128.79
kugpb081 86400 IN A 193.170.128.81
kugpb082 86400 IN A 193.170.128.82
kugpb083 86400 IN A 193.170.128.83
kugpb084 86400 IN A 193.170.128.84
kugpb086 86400 IN A 193.170.128.86
kugpb087 86400 IN A 193.170.128.87
kugpb088 86400 IN A 193.170.128.88
kugpb090 86400 IN A 193.170.128.90
kugpb091 86400 IN A 193.170.128.91
kugpb092 86400 IN A 193.170.128.92
kugpb103 86400 IN A 193.170.128.103
kugpb094 86400 IN A 193.170.128.94
kugpb105 86400 IN A 193.170.128.105
kugpb106 86400 IN A 193.170.128.106
p-ls82-302a 86400 IN A 192.168.247.112
kugpb108 86400 IN A 193.170.128.108
kugpb110 86400 IN A 193.170.128.110
kugwlan101-105 86400 IN A 193.170.101.105
kugpb113 86400 IN A 193.170.128.113
kugpb114 86400 IN A 193.170.128.114
kugpb115 86400 IN A 193.170.128.115
kugpb116 86400 IN A 193.170.128.116
kugpb117 86400 IN A 193.170.128.117
kugwlan101-096 86400 IN A 193.170.101.96
kugpb119 86400 IN A 193.170.128.119
kugpb121 86400 IN A 193.170.128.121
kugpb123 86400 IN A 193.170.128.123
p-lg14-302a 86400 IN A 192.168.247.124
kugwlan101-097 86400 IN A 193.170.101.97
kugwlan101-098 86400 IN A 193.170.101.98
monitor-v6 86400 IN AAAA 2001:628:20d0:11::80
s-red1 86400 IN A 193.170.129.235
uu-248-140 86400 IN A 192.168.248.140
kugwlan101-099 86400 IN A 193.170.101.99
w-br21-035a 86400 IN A 193.170.100.12
p-lg14-304a 86400 IN A 193.170.128.251
p-pm15-005a 86400 IN A 192.168.248.101
slp1 86400 IN CNAME s-ldapint1
slp2 86400 IN CNAME s-ldapint2
rm-bg17-159a 86400 IN A 192.168.11.30
p-pm15-007a 86400 IN A 192.168.248.102
uu128-229 86400 IN A 193.170.128.229
windisch 86400 IN CNAME w-mg39-104a
s-idm1 86400 IN A 193.170.129.215
redline 86400 IN CNAME s-red1
w-test1 86400 IN A 193.170.129.218
kug131-067 86400 IN A 193.170.131.67
w-test3 86400 IN A 193.170.129.243
kug131-070 86400 IN A 193.170.131.70
kug131-071 86400 IN A 193.170.131.71
kug131-072 86400 IN A 193.170.131.72
kug131-073 86400 IN A 193.170.131.73
kug131-074 86400 IN A 193.170.131.74
kug131-075 86400 IN A 193.170.131.75
kug131-076 86400 IN A 193.170.131.76
kug131-077 86400 IN A 193.170.131.77
kug131-078 86400 IN A 193.170.131.78
kug131-080 86400 IN A 193.170.131.80
kug131-081 86400 IN A 193.170.131.81
kug131-082 86400 IN A 193.170.131.82
kug131-083 86400 IN A 193.170.131.83
kug131-084 86400 IN A 193.170.131.84
kug131-085 86400 IN A 193.170.131.85
kug131-086 86400 IN A 193.170.131.86
kug131-087 86400 IN A 193.170.131.87
kug131-088 86400 IN A 193.170.131.88
kug131-089 86400 IN A 193.170.131.89
kug131-093 86400 IN A 193.170.131.93
sw-mg39-05aa 86400 IN A 193.170.190.20
sensor1x-v6 86400 IN AAAA 2001:628:20d0:9::70
p-pm15-016a 86400 IN A 192.168.248.103
p-pm15-016b 86400 IN A 192.168.248.104
ap26-rk 86400 IN A 192.168.248.76
p-lg14-316a 86400 IN A 192.168.247.123
s-kugcard1 86400 IN A 193.170.129.230
impg-09 86400 IN A 193.170.128.39
vl-os08-fo1a 86400 IN A 192.168.247.146
reload 600 IN CNAME s-rld1
m-os08-fo1a 86400 IN A 192.168.247.145
ap19-rk 86400 IN A 192.168.248.69
kug131-200 86400 IN A 193.170.131.200
kug131-201 86400 IN A 193.170.131.201
kug131-202 86400 IN A 193.170.131.202
kug131-203 86400 IN A 193.170.131.203
kug131-204 86400 IN A 193.170.131.204
kug131-205 86400 IN A 193.170.131.205
kug131-206 86400 IN A 193.170.131.206
kug131-207 86400 IN A 193.170.131.207
kug131-208 86400 IN A 193.170.131.208
kug131-210 86400 IN A 193.170.131.210
kug131-211 86400 IN A 193.170.131.211
kug131-212 86400 IN A 193.170.131.212
kug131-213 86400 IN A 193.170.131.213
kug131-214 86400 IN A 193.170.131.214
kug131-215 86400 IN A 193.170.131.215
kug131-216 86400 IN A 193.170.131.216
kug131-217 86400 IN A 193.170.131.217
kug131-218 86400 IN A 193.170.131.218
kug131-219 86400 IN A 193.170.131.219
kug131-221 86400 IN A 193.170.131.221
kug131-222 86400 IN A 193.170.131.222
kug131-223 86400 IN A 193.170.131.223
kug131-224 86400 IN A 193.170.131.224
kug131-225 86400 IN A 193.170.131.225
kug131-226 86400 IN A 193.170.131.226
kug131-227 86400 IN A 193.170.131.227
kug131-228 86400 IN A 193.170.131.228
kug131-229 86400 IN A 193.170.131.229
p-pm15-027a 86400 IN A 192.168.248.116
operandersdenken 86400 IN CNAME s-www1
smtp 600 IN A 193.170.129.137
s-s1-esx4-ilo 86400 IN A 192.168.107.233
rm-ls15-k904a 86400 IN A 192.168.11.43
imanager1 86400 IN CNAME s-ldapint1
imanager2 86400 IN CNAME s-ldapint2
w-ls82-302a 86400 IN A 193.170.129.81
w-ls82-303a 86400 IN A 193.170.128.120
ap14-mm 86400 IN A 192.168.248.24
w-pm15-004a 86400 IN A 193.170.130.173
s-www-st1 86400 IN A 193.170.53.60
t-br21-fo1a 86400 IN A 193.170.100.53
archiv 86400 IN CNAME s-www1
w-pm15-005a 86400 IN A 193.170.130.19
inf134 86400 IN A 193.170.191.134
w-pm15-006b 86400 IN A 193.170.130.247
ap09-rk 86400 IN A 192.168.248.59
w-pm15-007a 86400 IN A 193.170.130.36
ap14-rk 86400 IN A 192.168.248.64
inf140 86400 IN A 193.170.191.140
studieren 86400 IN CNAME s-www1
sw-ls15-k904ab 86400 IN A 193.170.190.73
sw-ls15-k904ac 86400 IN A 193.170.190.72
sw-ig10-3f0a 86400 IN A 193.170.190.19
s-gw-do-p 86400 IN A 193.170.53.18
sw-bg17-355a 86400 IN A 193.170.190.28
n-ls82-035d 86400 IN A 193.170.128.95
w-pm15-015a 86400 IN A 193.170.130.178
uu-kug130-062 86400 IN A 193.170.130.62
inf150 86400 IN A 193.170.191.150
w-pm15-016b 86400 IN A 193.170.130.91
w-pm15-016c 86400 IN A 193.170.130.41
w-pm15-016d 86400 IN A 193.170.130.106
w-pm15-016e 86400 IN A 193.170.130.16
uu191-122 86400 IN A 193.170.191.122
kug250-098 86400 IN A 192.168.250.98
sw1-wm-sz 86400 IN A 193.170.129.51
ap02-mg 86400 IN A 192.168.248.147
u-bg21-031a 86400 IN A 192.168.11.52
ap02-mm 86400 IN A 192.168.248.12
w-pm15-024a 86400 IN A 193.170.130.115
w-pm15-025a 86400 IN A 193.170.130.215
w-pm15-026a 86400 IN A 193.170.130.211
ap02-pm 86400 IN A 192.168.248.32
w-pm15-027a 86400 IN A 193.170.130.31
uu-kug130-180 86400 IN A 193.170.130.180
sqls 600 IN CNAME s-dm1
ap02-rk 86400 IN A 192.168.248.52
inf169 86400 IN A 193.170.191.169
ldap1 86400 IN CNAME s-ldap1
ldap2 86400 IN CNAME s-ldap2
mgmac01 86400 IN A 193.170.131.164
mgmac02 86400 IN A 193.170.131.165
st-s1-nas1 86400 IN A 192.168.107.240
st-s1-nas2 86400 IN A 192.168.107.241
holzer 86400 IN CNAME w-pm15-111b
comsys 86400 IN A 193.170.191.251
s-rld1-po-o1 86400 IN A 193.170.53.68
kugpb070 86400 IN A 193.170.128.70
inf180 86400 IN A 193.170.191.180
p-ls18-220a 86400 IN A 192.168.247.94
ldapint1 86400 IN CNAME s-ldapint1
ldapint2 86400 IN CNAME s-ldapint2
p-rk-29 86400 IN A 193.170.128.76
tarklioe 86400 IN A 193.170.191.228
altemusik 86400 IN CNAME s-www1
zid191-081 86400 IN A 193.170.191.81
zid191-083 86400 IN A 193.170.191.83
zid191-084 86400 IN A 193.170.191.84
zid191-085 86400 IN A 193.170.191.85
webdev 86400 IN CNAME s-wwwdev1
kugsps 86400 IN A 193.170.131.5
radius 86400 IN CNAME s-rs1
zid191-091 86400 IN A 193.170.191.91
zid191-092 86400 IN A 193.170.191.92
zid191-103 86400 IN A 193.170.191.103
zid191-104 86400 IN A 193.170.191.104
zid191-095 86400 IN A 193.170.191.95
zid191-106 86400 IN A 193.170.191.106
zid191-107 86400 IN A 193.170.191.107
zid191-098 86400 IN A 193.170.191.98
zid191-099 86400 IN A 193.170.191.99
zid191-111 86400 IN A 193.170.191.111
zid191-112 86400 IN A 193.170.191.112
zid191-113 86400 IN A 193.170.191.113
zid191-114 86400 IN A 193.170.191.114
zid191-115 86400 IN A 193.170.191.115
zid191-117 86400 IN A 193.170.191.117
zid191-118 86400 IN A 193.170.191.118
tapmalarmbox 86400 IN A 193.170.130.29
sw-ls82-140b 86400 IN A 193.170.190.121
p-rk-919 86400 IN A 193.170.128.89
miklin 86400 IN A 193.170.131.183
w-br21-036a 86400 IN A 193.170.100.63
w-hp08-0f0b 86400 IN A 193.170.100.37
kug130-093 86400 IN A 193.170.130.93
taleo18cpu 86400 IN A 193.170.129.181
wm-heizung 86400 IN A 193.170.129.94
kugwlan101-090 86400 IN A 193.170.101.90
uu131-040 86400 IN A 193.170.131.40
uu-190-233 86400 IN A 193.170.190.233
p-ls19-006a 86400 IN A 192.168.247.91
uu-190-241 86400 IN A 193.170.190.241
uu-190-242 86400 IN A 193.170.190.242
uu-190-243 86400 IN A 193.170.190.243
86400 IN A 193.170.190.244
uu-190-245 86400 IN A 193.170.190.245
wwwdev2 86400 IN CNAME s-wwwdev2
s-pcns1 86400 IN A 192.168.107.187
s-pcns2 86400 IN A 192.168.107.188
s-zcm1 86400 IN A 193.170.53.31
s-br1-ilo 86400 IN A 192.168.107.238
w-br17-fo0f 86400 IN A 193.170.190.135
kugwlan101-102 86400 IN A 193.170.101.102
s-zcm2 86400 IN A 193.170.53.32
sw-ls15-100ca 86400 IN A 193.170.190.99
sw-ls15-100cb 86400 IN A 193.170.190.93
pm107a 86400 IN A 193.170.130.205
pm107b 86400 IN A 193.170.130.206
p-ls82-plot 86400 IN A 192.168.248.121
sw-lg14-e11a 86400 IN A 193.170.190.125
kug250-019 86400 IN A 192.168.250.19
kugwlan101-093 86400 IN A 193.170.101.93
ap-hp08-0f0a 86400 IN A 192.168.248.164
ap-hp08-0f1a 86400 IN A 192.168.248.166
p-pm15-105a 86400 IN A 193.170.130.201
p-pm15-105b 86400 IN A 193.170.130.249
sw1-pm-sz-v4 86400 IN A 193.170.100.58
uu-rk-wlan-100-202 86400 IN A 193.170.100.202
kug130-094 86400 IN A 193.170.130.94
p-pm15-107a 86400 IN A 192.168.248.105
p-pm15-105t 86400 IN A 192.168.248.122
rp-bg21-0f0a 86400 IN A 192.168.184.10
login 86400 IN CNAME s-shib1
kugpb102 86400 IN A 193.170.128.102
pm114a 86400 IN A 193.170.130.130
s-smt1 86400 IN A 192.168.107.120
kug250-029 86400 IN A 192.168.250.29
p-pm15-111a 86400 IN A 192.168.248.106
sw1-core 86400 IN A 193.170.190.1
p-pm15-113a 86400 IN A 192.168.248.107
sqlstcp 600 IN CNAME s-dm1
p-pm15-114a 86400 IN A 192.168.248.108
uu-rk-wlan-100-185 86400 IN A 193.170.100.185
kug250-039 86400 IN A 192.168.250.39
ap27-rk 86400 IN A 192.168.248.77
uu-rk-wlan-100-140 86400 IN A 193.170.100.140
