@ 600 IN SOA @ root 2010042104 400 180 604800 600
@ 600 IN MX 10 mail
600 IN MX 20 hana5
lifeedu 600 IN A 211.221.246.147
zh 600 IN A 220.149.131.11
skukorea 600 IN A 220.149.131.21
gsugang 600 IN A 220.149.131.10
life 600 IN A 220.149.131.10
spam 600 IN A 211.221.246.7
ihakbun 600 IN A 220.149.131.16
sugang 600 IN A 220.149.131.10
sksk 600 IN A 220.149.131.21
ftp 600 IN A 211.221.246.2
cyber 600 IN A 211.221.246.78
global 600 IN A 218.232.111.58
sso 600 IN A 220.149.131.28
oldmail 600 IN A 211.221.246.22
ipsi 600 IN A 220.149.131.11
dyoon 600 IN A 211.221.246.150
infra 600 IN A 211.221.246.14
cherub 600 IN A 211.221.245.145
job 600 IN A 220.149.131.21
tnf 600 IN A 66.232.143.40
ppt 600 IN A 211.115.89.218
abeek 600 IN A 211.221.246.146
beauty 600 IN A 220.149.131.21
upre 600 IN A 220.149.131.21
backup 600 IN A 211.221.246.37
ebook 600 IN A 211.221.246.59
recruit 600 IN A 220.149.131.10
ibang 600 IN A 211.221.245.191
was 600 IN A 211.221.246.27
hana 600 IN A 211.221.246.2
ice 600 IN A 211.221.245.129
iadmission 600 IN A 220.149.131.16
smile 600 IN A 220.149.131.18
art 600 IN A 220.149.131.21
grad 600 IN A 220.149.131.21
music 600 IN A 220.149.131.21
mail 600 IN TXT "v=spf1 ip4:211.221.246.28 ip4:211.221.246.7 -all"
mail 600 IN A 211.221.246.28
skuchina 600 IN A 220.149.131.21
korean 600 IN A 220.149.131.10
mailx 600 IN TXT "v=spf1 ip4:211.221.246.79 ip4:211.221.246.7 -all"
mailx 600 IN A 211.221.246.79
ecom 600 IN A 211.221.246.30
skuctl 600 IN A 121.254.168.11
skmulti 600 IN A 220.149.131.21
inmun 600 IN A 220.149.131.21
dd 600 IN A 211.221.245.254
general 600 IN A 220.149.131.21
idorm 600 IN A 220.149.131.16
igsugang 600 IN A 220.149.131.16
textmining 600 IN A 220.67.115.32
multi 600 IN A 116.126.142.18
skjap 600 IN A 220.149.131.21
ipool 600 IN A 220.149.131.16
core 600 IN A 220.67.113.57
ime 600 IN A 220.149.131.21
hakbun 600 IN A 220.149.131.10
ienrol 600 IN A 220.149.131.16
idisk 600 IN A 211.221.246.99
exchange 600 IN A 220.149.131.10
computer 600 IN A 220.149.131.21
dkkim 600 IN A 211.221.246.107
iacg 600 IN A 66.232.143.40
edu 600 IN A 211.221.246.147
come 600 IN A 211.221.246.30
sklanguage 600 IN A 220.149.131.21
was1 600 IN A 211.221.246.19
isky 600 IN A 220.149.131.16
dicesku 600 IN A 220.149.131.21
sktheology 600 IN A 220.149.131.21
isms 600 IN A 220.149.131.16
irecruit 600 IN A 220.149.131.16
home01 600 IN A 211.221.246.129
home02 600 IN A 211.221.246.130
home03 600 IN A 211.221.246.137
home04 600 IN A 211.221.246.135
home05 600 IN A 211.221.246.136
home06 600 IN A 211.221.246.233
pms 600 IN A 211.221.245.233
fund 600 IN A 211.221.246.229
dil 600 IN A 220.149.131.21
iportal 600 IN A 220.149.131.16
skytest 600 IN A 211.221.245.233
ilife 600 IN A 220.149.131.16
csm 600 IN A 211.221.245.123
dw 600 IN A 220.149.131.31
was2 600 IN A 211.221.246.90
was3 600 IN A 211.221.246.91
was4 600 IN A 211.221.246.10
was5 600 IN A 211.221.246.15
wiz 600 IN A 220.149.131.21
ctl 600 IN A 220.149.131.21
info 600 IN A 211.221.245.130
newjob 600 IN A 211.221.246.73
dbabeek 600 IN A 211.221.246.145
sksw 600 IN A 220.149.131.21
igw 600 IN A 220.149.131.16
dice 600 IN A 116.126.143.70
isso 600 IN A 220.149.131.16
asset 600 IN A 220.149.131.27
ch 600 IN A 220.149.131.11
church 600 IN A 220.149.131.21
ebiz507 600 IN A 211.221.245.185
discovery 600 IN A 211.221.247.7
portal 600 IN A 220.149.131.10
crea 600 IN A 211.221.245.139
ea 600 IN A 220.149.131.21
ec 600 IN A 211.221.245.120
duke 600 IN A 211.221.245.142
en 600 IN A 220.149.131.11
pda 600 IN A 211.221.246.2
